,Model,Year,Expected,Predicted,0,1,2,3
0,,,,,Linear regression,2014.0,496.0,[601.64487329]
1,,,,,Random Forest regression,2014.0,496.0,[525.72]
2,,,,,Linear regression,2015.0,1235.0,[1107.42503695]
3,,,,,Random Forest regression,2015.0,1235.0,[1277.38]
4,,,,,Linear regression,2016.0,758.0,[612.89182624]
5,,,,,Random Forest regression,2016.0,758.0,[736.32]
6,,,,,Linear regression,2017.0,551.0,[387.38439386]
7,,,,,Random Forest regression,2017.0,551.0,[498.06]
8,,,,,Linear regression,2018.0,1940.0,[1533.26086297]
9,,,,,Random Forest regression,2018.0,1940.0,[1891.88]
10,,,,,Linear regression,2019.0,1518.0,[1227.85709302]
11,,,,,Random Forest regression,2019.0,1518.0,[1381.34]
12,,,,,Linear regression,2020.0,2559.0,[2129.30874232]
13,,,,,Random Forest regression,2020.0,2559.0,[2369.47]
14,,,,,Linear regression,2021.0,1027.0,[901.3490471]
15,,,,,Random Forest regression,2021.0,1027.0,[964.9]
16,,,,,Linear regression,2022.0,215.0,[367.67166121]
17,,,,,Random Forest regression,2022.0,215.0,[220.64]
